no,date,open,high,low,close,volume,value,frequency 
1,2023-12-08,1670,1680,1620,1645,21423900,35086361500,3723
2,2023-12-07,1700,1725,1650,1670,28217700,47217851500,4355
3,2023-12-06,1680,1735,1675,1700,34553800,59134234000,7006
4,2023-12-05,1645,1680,1620,1660,21335900,35376130000,4084
5,2023-12-04,1665,1670,1635,1640,16286900,26823862000,3113
6,2023-12-01,1610,1695,1605,1665,37087700,61917611500,4306
7,2023-11-30,1600,1650,1585,1615,138930200,224570991500,5562
8,2023-11-29,1610,1635,1600,1605,22564800,36329866000,3212
9,2023-11-28,1625,1640,1600,1605,48173500,77575137000,3850
10,2023-11-27,1605,1640,1595,1625,25615200,41487148000,2736
11,2023-11-24,1640,1650,1590,1595,28217100,45298767500,3275
12,2023-11-23,1645,1675,1635,1640,22415700,37002733500,2678
13,2023-11-22,1620,1680,1620,1645,28702700,47572331000,3327
14,2023-11-21,1615,1620,1595,1605,30532300,49120186000,4367
15,2023-11-20,1615,1630,1600,1625,23028600,37233647500,3005
16,2023-11-17,1605,1620,1585,1620,43668800,70096660000,2978
17,2023-11-16,1610,1615,1580,1615,55800500,89559916500,4423
18,2023-11-15,1615,1625,1590,1610,30926600,49724928500,3385
19,2023-11-14,1590,1620,1560,1605,24224400,38592970500,2868
20,2023-11-13,1605,1635,1595,1600,16892600,27108750500,1990
21,2023-11-10,1620,1625,1585,1590,16704000,26737080000,2619
22,2023-11-09,1615,1645,1615,1620,14238800,23117360500,2450
23,2023-11-08,1610,1615,1585,1615,21364900,34260016500,3148
24,2023-11-07,1610,1625,1595,1605,28239600,45361675000,3348
25,2023-11-06,1595,1635,1590,1615,22496600,36251693500,4267
26,2023-11-03,1595,1620,1570,1590,32629000,52030635000,2888
27,2023-11-02,1605,1690,1580,1595,61585900,100692595000,5677
28,2023-11-01,1670,1670,1550,1605,90226000,143963237500,7452
29,2023-10-31,1705,1750,1585,1690,84591000,139913784000,7024
30,2023-10-30,1750,1760,1690,1705,24521300,41821233000,3476
31,2023-10-27,1775,1775,1750,1755,16699100,29334488500,2197
32,2023-10-26,1760,1775,1750,1750,14364300,25202586000,2615
33,2023-10-25,1830,1830,1760,1760,25913500,46295403500,3542
34,2023-10-24,1770,1865,1770,1825,32868900,60324021000,4358
35,2023-10-23,1780,1790,1760,1770,14040000,24916996000,3055
36,2023-10-20,1800,1830,1760,1770,25330300,45123974500,3354
37,2023-10-19,1805,1810,1775,1800,30146000,54158598000,3832
38,2023-10-18,1825,1830,1805,1805,12203800,22109968500,2618
39,2023-10-17,1770,1870,1770,1825,38125100,69872423500,5763
40,2023-10-16,1765,1775,1755,1760,9545800,16826131500,1856
41,2023-10-13,1730,1765,1730,1750,11069700,19366725000,2592
42,2023-10-12,1750,1760,1740,1740,15541900,27099822000,2823
43,2023-10-11,1770,1770,1745,1750,21443100,37621068000,2988
44,2023-10-10,1780,1795,1755,1755,18387000,32546864000,3500
45,2023-10-09,1825,1830,1780,1780,19018900,34055594500,5366
46,2023-10-06,1840,1860,1835,1835,23319900,43120088000,4364
47,2023-10-05,1780,1860,1770,1835,32076300,58821681500,5898
48,2023-10-04,1770,1785,1740,1765,28841300,50889741000,4564
49,2023-10-03,1785,1800,1760,1795,17677300,31599528000,4155
50,2023-10-02,1750,1795,1750,1785,23826000,42429692000,3321
51,2023-09-29,1755,1775,1745,1755,22701200,39919515500,3689
52,2023-09-27,1805,1805,1750,1755,18244000,32235186500,2879
53,2023-09-26,1780,1810,1780,1805,18365400,33084715500,3240
54,2023-09-25,1785,1810,1775,1775,21232800,38049152000,2495
55,2023-09-22,1815,1820,1780,1780,23992200,43028154500,3253
56,2023-09-21,1750,1815,1740,1815,32625300,58222907500,3178
57,2023-09-20,1790,1795,1750,1750,41154900,72674045500,4811
58,2023-09-19,1820,1820,1780,1790,30098500,54071941500,4183
59,2023-09-18,1765,1840,1765,1815,29281000,53443672000,3563
60,2023-09-15,1765,1800,1755,1765,64227000,113666087500,4835
61,2023-09-14,1785,1825,1775,1785,35127100,63036730500,3724
62,2023-09-13,1820,1820,1760,1785,40498300,72181354000,4684
63,2023-09-12,1855,1865,1805,1820,41058000,74937340500,4208
64,2023-09-11,1720,1860,1720,1860,58535600,106688176500,6680
65,2023-09-08,1700,1720,1660,1720,55673400,94417862000,7462
66,2023-09-07,1735,1740,1670,1705,59123900,100113862500,6485
67,2023-09-06,1760,1765,1735,1740,29734200,51875615500,3667
68,2023-09-05,1785,1785,1755,1770,26047300,46056582000,5009
69,2023-09-04,1775,1820,1740,1785,33778600,60029440000,5383
70,2023-09-01,1820,1820,1760,1775,25897000,46509885000,5235
71,2023-08-31,1840,1840,1815,1815,48819500,88705640500,4589
72,2023-08-30,1860,1870,1830,1845,18648400,34510082500,2741
73,2023-08-29,1815,1875,1805,1860,29399700,54560458500,4514
74,2023-08-28,1815,1825,1805,1805,13537400,24466163500,2331
75,2023-08-25,1820,1820,1800,1810,16350700,29556045500,1694
76,2023-08-24,1810,1825,1805,1810,28276000,51253086000,3555
77,2023-08-23,1850,1855,1810,1810,34969400,63963945500,4885
78,2023-08-22,1830,1855,1825,1855,14606900,26996389500,2049
79,2023-08-21,1845,1860,1830,1845,12787100,23614267000,1790
80,2023-08-18,1870,1870,1840,1845,50347600,93092450000,4971
81,2023-08-16,1850,1870,1835,1870,25067600,46565117500,4435
82,2023-08-15,1865,1875,1845,1850,23619600,43899343500,3196
83,2023-08-14,1855,1855,1815,1850,36798900,67512837000,4258
84,2023-08-11,1840,1855,1830,1850,16674600,30779803500,2590
85,2023-08-10,1875,1875,1825,1845,31694800,58295516000,4527
86,2023-08-09,1855,1875,1855,1875,17220000,32232808500,2546
87,2023-08-08,1845,1875,1845,1855,27237500,50535110000,2674
88,2023-08-07,1905,1905,1850,1850,38131200,70658654500,3659
89,2023-08-04,1885,1895,1860,1875,17972100,33805315500,5754
90,2023-08-03,1820,1895,1810,1885,40142500,75278597500,5316
91,2023-08-02,1805,1810,1770,1795,91491000,163707442000,6715
92,2023-08-01,1900,1910,1795,1805,125530500,228130218000,17500
93,2023-07-31,1915,1935,1885,1915,70534200,134476530500,6335
94,2023-07-28,1905,1925,1895,1910,44609300,84892139500,4042
95,2023-07-27,1920,1925,1905,1905,62633600,119693756000,5204
96,2023-07-26,1970,1970,1925,1935,25482000,49413279500,4268
97,2023-07-25,1960,1965,1940,1965,40692500,79484937500,4158
98,2023-07-24,1970,1985,1960,1970,24367300,48162263500,3292
99,2023-07-21,1950,1970,1925,1970,42962900,83662210000,5514
100,2023-07-20,1990,2000,1950,1950,79634100,156239237000,10768
101,2023-07-18,2040,2040,1980,2000,74341400,148429590000,4883
